Id,ActivityDay,StepTotal,TotalCaloriesBurnt
1503960366,12-04-2016,13162,1985
1503960366,13-04-2016,10735,1797
1503960366,14-04-2016,10460,1776
1503960366,15-04-2016,9762,1745
1503960366,16-04-2016,12669,1863
1503960366,17-04-2016,9705,1728
1503960366,18-04-2016,13019,1921
1503960366,19-04-2016,15506,2035
1503960366,20-04-2016,10544,1786
1503960366,21-04-2016,9819,1775
1503960366,22-04-2016,12764,1827
1503960366,23-04-2016,14371,1949
1503960366,24-04-2016,10039,1788
1503960366,25-04-2016,15355,2013
1503960366,26-04-2016,13755,1970
1503960366,27-04-2016,18134,2159
1503960366,28-04-2016,13154,1898
1503960366,29-04-2016,11181,1837
1503960366,30-04-2016,14673,1947
1503960366,01-05-2016,10602,1820
1503960366,02-05-2016,14727,2004
1503960366,03-05-2016,15103,1990
1503960366,04-05-2016,11100,1819
1503960366,05-05-2016,14070,1959
1503960366,06-05-2016,12159,1896
1503960366,07-05-2016,11992,1821
1503960366,08-05-2016,10060,1740
1503960366,09-05-2016,12022,1819
1503960366,10-05-2016,12207,1859
1503960366,11-05-2016,12770,1783
1503960366,12-05-2016,0,0
1624580081,12-04-2016,8163,1432
1624580081,13-04-2016,7007,1411
1624580081,14-04-2016,9107,1572
1624580081,15-04-2016,1510,1344
1624580081,16-04-2016,5370,1463
1624580081,17-04-2016,6175,1554
1624580081,18-04-2016,10536,1604
1624580081,19-04-2016,2916,1435
1624580081,20-04-2016,4974,1446
1624580081,21-04-2016,6349,1467
1624580081,22-04-2016,4026,1470
1624580081,23-04-2016,8538,1562
1624580081,24-04-2016,6076,1617
1624580081,25-04-2016,6497,1492
1624580081,26-04-2016,2826,1402
1624580081,27-04-2016,8367,1670
1624580081,28-04-2016,2759,1401
1624580081,29-04-2016,2390,1404
1624580081,30-04-2016,6474,1655
1624580081,01-05-2016,36019,2690
1624580081,02-05-2016,7155,1497
1624580081,03-05-2016,2100,1334
1624580081,04-05-2016,2193,1368
1624580081,05-05-2016,2470,1370
1624580081,06-05-2016,1727,1341
1624580081,07-05-2016,2104,1474
1624580081,08-05-2016,3427,1427
1624580081,09-05-2016,1732,1328
1624580081,10-05-2016,2969,1393
1624580081,11-05-2016,3134,1359
1624580081,12-05-2016,2971,1002
1644430081,12-04-2016,10694,3199
1644430081,13-04-2016,8001,2902
1644430081,14-04-2016,11037,3226
1644430081,15-04-2016,5263,2750
1644430081,16-04-2016,15300,3493
1644430081,17-04-2016,8757,3011
1644430081,18-04-2016,7132,2806
1644430081,19-04-2016,11256,3300
1644430081,20-04-2016,2436,2430
1644430081,21-04-2016,1223,2140
1644430081,22-04-2016,3673,2344
1644430081,23-04-2016,6637,2677
1644430081,24-04-2016,3321,2413
1644430081,25-04-2016,3580,2497
1644430081,26-04-2016,9919,3123
1644430081,27-04-2016,3032,2489
1644430081,28-04-2016,9405,3108
1644430081,29-04-2016,3176,2498
1644430081,30-04-2016,18213,3846
1644430081,01-05-2016,6132,2696
1644430081,02-05-2016,3758,2580
1644430081,03-05-2016,12850,3324
1644430081,04-05-2016,2309,2222
1644430081,05-05-2016,4363,2463
1644430081,06-05-2016,9787,3328
1644430081,07-05-2016,13372,3404
1644430081,08-05-2016,6724,2987
1644430081,09-05-2016,6643,3008
1644430081,10-05-2016,9167,2799
1644430081,11-05-2016,1329,1276
1844505072,12-04-2016,6697,2030
1844505072,13-04-2016,4929,1860
1844505072,14-04-2016,7937,2130
1844505072,15-04-2016,3844,1725
1844505072,16-04-2016,3414,1657
1844505072,17-04-2016,4525,1793
1844505072,18-04-2016,4597,1814
1844505072,19-04-2016,197,1366
1844505072,20-04-2016,8,1349
1844505072,21-04-2016,8054,2062
1844505072,22-04-2016,5372,1827
1844505072,23-04-2016,3570,1645
1844505072,24-04-2016,0,1347
1844505072,25-04-2016,0,1347
1844505072,26-04-2016,0,1347
1844505072,27-04-2016,4,1348
1844505072,28-04-2016,6907,1992
1844505072,29-04-2016,4920,1856
1844505072,30-04-2016,4014,1763
1844505072,01-05-2016,2573,1541
1844505072,02-05-2016,0,1348
1844505072,03-05-2016,4059,1742
1844505072,04-05-2016,2080,1549
1844505072,05-05-2016,2237,1589
1844505072,06-05-2016,44,1351
1844505072,07-05-2016,0,1347
1844505072,08-05-2016,0,1347
1844505072,09-05-2016,0,1347
1844505072,10-05-2016,0,1347
1844505072,11-05-2016,0,1347
1844505072,12-05-2016,0,665
1927972279,12-04-2016,678,2220
1927972279,13-04-2016,356,2151
1927972279,14-04-2016,2163,2383
1927972279,15-04-2016,980,2221
1927972279,16-04-2016,0,2064
1927972279,17-04-2016,0,2063
1927972279,18-04-2016,244,2111
1927972279,19-04-2016,0,2063
1927972279,20-04-2016,0,2063
1927972279,21-04-2016,0,2064
1927972279,22-04-2016,149,2093
1927972279,23-04-2016,2945,2499
1927972279,24-04-2016,2090,2324
1927972279,25-04-2016,152,2100
1927972279,26-04-2016,3761,2638
1927972279,27-04-2016,0,2063
1927972279,28-04-2016,1675,2351
1927972279,29-04-2016,0,2063
1927972279,30-04-2016,0,2064
1927972279,01-05-2016,2704,2411
1927972279,02-05-2016,3790,2505
1927972279,03-05-2016,1326,2195
1927972279,04-05-2016,1786,2338
1927972279,05-05-2016,0,2063
1927972279,06-05-2016,2091,2383
1927972279,07-05-2016,1510,2229
1927972279,08-05-2016,0,2063
1927972279,09-05-2016,0,2063
1927972279,10-05-2016,0,2063
1927972279,11-05-2016,0,2063
1927972279,12-05-2016,0,1383
2022484408,12-04-2016,11875,2390
2022484408,13-04-2016,12024,2601
2022484408,14-04-2016,10690,2312
2022484408,15-04-2016,11034,2525
2022484408,16-04-2016,10100,2177
2022484408,17-04-2016,15112,2782
2022484408,18-04-2016,14131,2770
2022484408,19-04-2016,11548,2489
2022484408,20-04-2016,15112,2897
2022484408,21-04-2016,12453,3158
2022484408,22-04-2016,12954,2638
2022484408,23-04-2016,6001,2069
2022484408,24-04-2016,13481,2529
2022484408,25-04-2016,11369,2470
2022484408,26-04-2016,10119,2793
2022484408,27-04-2016,10159,2463
2022484408,28-04-2016,10140,2296
2022484408,29-04-2016,10245,2611
2022484408,30-04-2016,18387,2732
2022484408,01-05-2016,10538,2380
2022484408,02-05-2016,10379,2473
2022484408,03-05-2016,12183,2752
2022484408,04-05-2016,11768,2649
2022484408,05-05-2016,11895,2609
2022484408,06-05-2016,10227,2498
2022484408,07-05-2016,6708,1995
2022484408,08-05-2016,3292,1848
