Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TimeTakenToSleep
1844505072,01-05-2016,1,590,961,371
1844505072,15-04-2016,1,644,961,317
3977333714,01-05-2016,1,383,626,243
1844505072,30-04-2016,1,722,961,239
3977333714,16-04-2016,1,283,510,227
3977333714,24-04-2016,1,310,526,216
3977333714,03-05-2016,1,292,500,208
3977333714,07-05-2016,1,237,443,206
3977333714,25-04-2016,1,262,467,205
3977333714,08-05-2016,2,259,456,197
3977333714,12-04-2016,1,274,469,195
3977333714,27-04-2016,1,349,540,191
3977333714,06-05-2016,1,323,512,189
3977333714,17-04-2016,1,381,566,185
3977333714,21-04-2016,1,332,512,180
3977333714,19-04-2016,1,219,395,176
1644430081,02-05-2016,1,796,961,165
3977333714,28-04-2016,1,261,423,162
3977333714,05-05-2016,1,318,480,162
3977333714,13-04-2016,2,295,456,161
3977333714,02-05-2016,1,230,384,154
3977333714,20-04-2016,2,152,305,153
3977333714,29-04-2016,1,333,478,145
3977333714,30-04-2016,1,237,382,145
3977333714,10-05-2016,1,312,452,140
3977333714,23-04-2016,1,235,372,137
3977333714,15-04-2016,1,424,556,132
3977333714,04-05-2016,1,213,336,123
3977333714,22-04-2016,1,355,476,121
3977333714,26-04-2016,1,250,371,121
3977333714,18-04-2016,2,412,522,110
3977333714,14-04-2016,1,291,397,106
5553957443,23-04-2016,2,631,725,94
5553957443,24-04-2016,2,553,640,87
8378563200,30-04-2016,1,468,555,87
8378563200,16-04-2016,2,611,689,78
4445114986,09-05-2016,1,457,533,76
5577150313,24-04-2016,1,543,615,72
8378563200,27-04-2016,1,531,600,69
5553957443,30-04-2016,2,775,843,68
6117666160,01-05-2016,1,507,575,68
6117666160,22-04-2016,1,480,546,66
8378563200,17-04-2016,2,525,591,66
2347167796,13-04-2016,1,467,531,64
5553957443,01-05-2016,2,622,686,64
8378563200,01-05-2016,1,475,539,64
2347167796,29-04-2016,1,411,473,62
5553957443,02-05-2016,1,409,471,62
2026352035,17-04-2016,1,437,498,61
4388161847,27-04-2016,1,439,500,61
5553957443,14-04-2016,1,357,418,61
8378563200,08-05-2016,1,545,606,61
6962181067,19-04-2016,1,476,535,59
4020332650,04-05-2016,1,478,536,58
5577150313,10-05-2016,1,504,562,58
2347167796,18-04-2016,1,500,557,57
2347167796,22-04-2016,1,405,461,56
2347167796,26-04-2016,1,436,490,54
8378563200,07-05-2016,2,459,513,54
5553957443,19-04-2016,1,357,410,53
8378563200,18-04-2016,1,398,451,53
2347167796,15-04-2016,1,452,504,52
4020332650,10-05-2016,1,442,494,52
5553957443,17-04-2016,1,350,402,52
2347167796,27-04-2016,1,448,499,51
4445114986,14-04-2016,1,441,492,51
4445114986,05-05-2016,2,462,513,51
2026352035,15-04-2016,1,523,573,50
4388161847,01-05-2016,1,547,597,50
8378563200,28-04-2016,1,506,556,50
8378563200,12-05-2016,1,496,546,50
2026352035,20-04-2016,1,461,510,49
2347167796,19-04-2016,1,465,514,49
5553957443,03-05-2016,1,380,429,49
6962181067,13-04-2016,3,630,679,49
